1000 47978
93 928 40
93 933 33
93 939 24
93 985 37
94 21 1
94 38 33
94 65 27
94 75 40
94 113 26
94 135 26
94 143 14
94 148 0
94 198 48
94 202 26
94 205 -1
94 252 11
94 274 25
94 275 11
94 279 23
94 281 9
94 285 34
94 290 21
94 301 25
94 310 17
94 340 2
94 375 46
94 393 40
94 460 48
94 468 7
94 480 4
94 497 3
94 498 29
94 500 28
94 535 15
94 541 22
94 551 16
94 559 18
94 574 8
94 583 0
94 611 4
94 619 50
94 622 36
94 633 23
94 652 28
94 667 37
94 673 16
94 675 4
94 685 8
94 686 46
94 726 50
94 788 47
94 790 23
94 826 17
94 845 38
94 883 7
94 910 19
94 948 49
94 955 49
94 979 49
94 994 22
95 5 2
95 12 28
95 17 47
95 28 15
95 44 25
95 45 20
95 47 5
95 82 0
95 87 29
95 89 16
95 91 1
95 104 34
95 109 46
95 147 13
95 151 45
95 160 9
95 168 10
95 181 10
95 247 10
95 249 25
95 269 19
95 292 11
95 298 18
95 316 0
95 323 13
95 333 48
95 340 40
95 365 4
95 373 16
95 374 50
95 389 23
95 399 35
95 408 37
95 424 4
95 425 38
95 432 10
95 444 27
95 448 15
95 455 48
95 476 45
95 517 36
95 538 -2
95 543 14
95 557 11
95 568 -1
95 578 24
95 586 30
95 600 38
95 633 32
95 659 30
95 663 17
95 681 26
95 687 32
95 698 22
95 715 0
95 725 21
95 764 19
95 786 35
95 838 45
95 844 32
95 877 23
95 924 23
95 927 44
95 936 11
95 954 28
95 980 11
95 999 3
96 1 27
96 5 49
96 29 36
96 30 26
96 36 33
96 66 0
96 92 8
96 107 30
96 113 33
96 136 45
96 152 10
96 159 48
96 169 39
96 176 50
96 181 47
96 190 39
96 193 13
96 252 38
96 276 46
96 290 25
96 291 29
96 294 33
96 298 2
96 301 37
96 312 7
96 358 43
96 367 13
96 370 14
96 374 29
96 377 5
96 399 29
96 401 0
96 403 38
96 427 27
96 478 37
96 507 4
96 564 35
96 589 21
96 601 10
96 603 1
96 604 43
96 623 49
96 631 19
96 708 24
96 726 22
96 757 42
96 781 49
96 789 40
96 820 19
96 852 33
96 882 23
96 897 12
96 900 24
96 924 24
96 925 14
96 937 50
96 963 44
97 5 41
97 22 4
97 29 16
97 33 26
97 76 7
97 79 28
97 110 40
97 112 27
97 116 45
97 145 36
97 177 46
97 190 48
97 197 3
97 208 19
97 225 13
97 264 17
97 278 22
97 337 22
97 345 39
97 406 30
97 409 34
97 413 8
97 417 7
97 443 10
97 455 45
97 460 37
97 498 1
97 508 25
97 523 9
97 562 13
97 613 38
97 617 9
97 649 4
97 666 40
97 679 37
97 687 17
97 692 -2
97 700 42
97 732 48
97 741 5
97 746 41
97 774 34
97 777 6
97 791 45
97 811 25
97 830 35
97 837 0
97 843 4
97 919 49
97 945 34
97 953 11
97 995 -2
98 44 45
98 90 -1
98 135 21
98 161 48
98 183 46
98 189 35
98 197 12
98 200 17
98 207 12
98 212 35
98 244 25
98 251 14
98 298 40
98 312 43
98 321 34
98 345 32
98 349 13
98 356 13
98 365 44
98 390 5
98 478 32
98 495 25
98 497 41
98 520 0
98 604 37
98 607 35
98 611 50
98 625 36
98 663 31
98 683 41
98 693 31
98 697 0
98 719 32
98 771 20
98 808 43
98 828 50
98 905 6
98 946 31
98 957 24
98 974 30
98 979 5
98 983 50
98 995 37
99 17 11
99 29 36
99 55 7
99 70 2
99 103 23
99 107 0
99 127 22
99 141 44
99 149 5
99 151 7
99 192 0
99 202 29
99 213 37
99 223 40
99 235 32
99 252 44
99 270 10
99 316 48
99 317 13
99 326 15
99 334 15
99 340 44
99 343 4
99 357 35
99 389 30
99 411 39
99 414 8
99 514 32
99 518 1
99 530 32
99 564 34
99 573 47
99 604 48
99 609 36
99 699 43
99 748 21
99 767 44
99 773 42
99 800 9
99 802 35
99 861 13
99 904 46
99 920 -2
99 964 43
99 969 34
100 8 20
100 76 22
100 78 1
100 121 8
100 130 2
100 142 26
100 152 31
100 173 33
100 181 44
100 286 27
100 294 48
100 327 50
100 340 36
100 362 11
100 377 5
100 387 32
100 390 -2
100 397 49
100 436 46
100 461 37
100 462 24
100 463 1
100 468 38
100 491 19
100 557 30
100 562 37
100 595 1
100 637 8
100 646 13
100 669 25
100 701 17
100 705 40
100 708 42
100 716 16
100 747 23
100 771 44
100 783 20
100 803 44
100 817 2
100 914 50
100 933 36
100 961 15
100 972 10
100 978 40
100 983 19
100 994 43
101 4 7
101 95 5
101 108 11
101 128 47
101 130 17
101 155 44
101 174 19
101 197 13
101 287 21
101 309 37
101 310 0
101 354 45
101 378 38
101 398 4
101 403 7
101 448 10
101 457 41
101 491 41
101 492 49
101 496 -2
101 506 38
101 538 13
101 553 14
101 568 37
101 570 18
101 577 47
101 586 -1
101 587 50
101 616 33
101 687 18
101 702 26
101 757 40
101 801 35
101 802 0
101 807 20
101 822 6
101 842 2
101 929 42
101 980 47
101 982 32
101 991 12
101 992 39
102 30 10
102 40 2
102 50 9
102 62 1
102 67 32
102 81 16
102 101 15
102 104 16
102 121 45
102 123 48
102 142 11
102 161 45
102 165 36
102 172 35
102 197 42
102 207 33
102 255 50
102 290 47
102 312 38
102 330 0
102 346 22
102 353 37
102 367 36
102 379 39
102 397 42
102 410 39
102 430 27
102 554 17
102 555 17
102 584 -2
102 599 20
102 607 30
102 617 4
102 629 7
102 648 40
102 669 15
102 682 48
102 711 8
102 719 4
102 727 46
102 758 9
102 759 5
102 771 48
102 790 29
102 805 46
102 834 42
102 900 41
102 901 38
102 904 49
102 909 2
102 922 21
102 935 11
102 936 4
102 953 18
102 969 45
102 987 11
103 3 12
103 5 46
103 6 22
103 13 15
103 14 13
103 24 16
103 31 34
103 67 33
103 68 32
103 96 8
103 104 29
103 106 35
103 124 19
103 153 29
103 165 34
103 169 0
103 202 11
103 273 10
103 284 22
103 293 47
103 315 35
103 332 15
103 340 18
103 344 48
103 390 1
103 414 21
103 416 18
103 441 45
103 443 16
103 494 31
103 495 4
103 498 2
103 504 50
103 514 31
103 547 25
103 548 41
103 569 31
103 589 29
103 601 -2
103 657 4
103 671 42
103 686 36
103 705 8
103 720 5
103 728 32
103 733 26
103 745 0
103 792 16
103 797 16
103 801 29
103 815 43
103 820 14
103 857 47
103 863 46
103 877 29
103 895 47
103 920 9
103 931 40
103 956 32
104 6 50
104 16 44
104 67 40
104 96 31
104 103 32
104 149 29
104 176 3
104 212 49
104 215 47
104 223 4
104 284 28
104 286 45
104 299 38
104 310 35
104 343 41
104 347 23
104 375 7
104 396 -2
104 404 24
104 423 46
104 467 21
104 486 27
104 513 24
104 530 24
104 540 30
104 611 6
104 630 21
104 631 3
104 632 34
104 705 49
104 706 39
104 731 49
104 756 22
104 763 3
104 778 30
104 811 44
104 826 44
104 834 25
104 901 26
104 902 11
104 903 37
104 954 34
104 979 9
104 996 16
104 998 12
105 1 36
105 2 6
105 4 40
105 5 48
105 10 25
105 12 4
105 18 36
105 34 -2
105 61 49
105 73 27
105 129 17
105 136 36
105 166 41
105 189 22
105 200 9
105 220 29
105 234 42
105 271 34
105 294 49
105 340 25
105 355 18
105 362 15
105 363 4
105 364 25
105 380 4
105 382 33
105 404 8
105 419 49
105 465 2
105 491 34
105 504 3
105 512 39
105 516 27
105 547 27
105 574 20
105 575 42
105 581 33
105 587 5
105 601 34
105 607 9
105 614 48
105 619 12
105 682 30
105 683 41
105 727 10
105 732 24
105 754 30
105 771 7
105 779 24
105 806 5
105 819 22
105 859 13
105 861 0
105 885 31
105 893 5
105 896 49
105 925 16
105 934 26
105 937 21
105 945 6
105 948 -1
105 988 21
106 9 43
106 22 30
106 32 22
106 36 25
106 58 36
106 109 40
106 150 1
106 174 34
106 201 24
106 203 12
106 204 8
106 255 35
106 308 25
106 329 39
106 408 15
106 424 21
106 462 39
106 463 2
106 478 33
106 490 40
106 544 5
106 556 39
106 592 27
106 598 8
106 601 48
106 626 27
106 643 33
106 720 43
106 749 50
106 822 50
106 829 32
106 861 33
106 866 15
106 889 16
106 895 47
106 902 -1
106 918 11
106 949 -2
106 986 13
107 11 45
107 25 46
107 45 45
107 49 19
107 97 24
107 110 7
107 138 31
107 162 12
107 164 4
107 186 32
107 206 11
107 215 7
107 224 12
107 243 17
107 288 43
107 290 27
107 312 50
107 334 37
107 349 17
107 354 20
107 373 27
107 381 37
107 404 50
107 415 50
107 421 35
107 447 28
107 461 25
107 547 10
107 576 43
107 612 17
107 627 33
107 633 35
107 675 17
107 718 33
107 721 43
107 750 -2
107 791 22
107 814 18
107 816 8
107 824 1
107 830 42
107 842 4
107 861 32
107 883 43
107 884 37
107 919 16
107 926 50
107 938 20
107 972 20
107 983 16
107 986 43
108 51 12
108 63 3
108 74 48
108 110 11
108 115 45
108 130 15
108 144 9
108 150 34
108 160 48
108 164 16
108 184 7
108 203 16
108 220 39
108 224 45
108 230 20
108 252 35
108 259 36
108 262 16
108 263 -2
108 275 48
108 303 5
108 310 36
108 330 43
108 349 27
108 360 30
108 381 4
108 388 34
108 455 14
108 464 19
108 483 9
108 487 9
108 506 40
108 516 40
108 550 22
108 577 38
108 625 6
108 667 28
108 675 18
108 716 39
108 724 43
108 779 -1
108 791 26
108 828 14
108 843 13
108 853 15
108 872 38
108 900 22
108 904 22
108 908 30
108 917 23
108 953 44
108 954 29
108 972 46
109 5 6
109 35 45
109 54 15
109 69 47
109 107 24
109 130 4
109 135 29
109 155 35
109 167 29
109 168 36
109 189 -2
109 197 46
109 209 31
109 211 27
109 216 3
109 220 47
109 273 49
109 280 44
109 303 44
109 317 34
109 349 33
109 351 21
109 420 11
109 464 20
109 477 33
109 484 5
109 494 33
109 514 16
109 530 45
109 542 10
109 549 27
109 556 43
109 594 48
109 598 28
109 599 38
109 641 8
109 644 27
109 694 39
109 727 27
109 736 0
109 737 10
109 758 42
109 800 50
109 846 34
109 858 28
109 859 4
109 874 -2
109 914 34
109 920 37
109 949 21
109 954 6
109 976 11
110 17 13
110 54 17
110 61 46
110 64 14
110 94 6
110 135 24
110 146 10
110 225 43
110 282 38
110 302 26
110 341 46
110 366 43
110 371 24
110 396 13
110 415 6
110 417 21
110 429 30
110 433 49
110 434 30
110 508 6
110 522 43
110 572 5
110 579 47
110 608 39
110 610 -1
110 626 43
110 666 22
110 670 32
110 698 36
110 707 3
110 715 18
110 738 4
110 772 11
110 829 4
110 843 12
110 850 34
110 870 32
110 887 22
110 912 24
110 952 -1
110 966 8
110 968 23
110 998 6
111 17 28
111 57 47
111 67 14
111 181 37
111 187 48
111 188 10
111 202 39
111 218 20
111 231 49
111 251 13
111 275 29
111 277 41
111 283 34
111 287 21
111 291 9
111 356 39
111 377 36
111 380 41
111 389 38
111 424 35
111 441 38
111 480 23
111 526 6
111 543 18
111 549 27
111 591 8
111 618 1
111 622 33
111 654 44
111 671 27
111 675 27
111 678 43
111 708 50
111 715 0
111 720 41
111 748 49
111 767 21
111 801 45
111 805 47
111 818 35
111 878 0
111 892 8
111 948 46
111 989 28
112 22 15
112 23 40
112 25 23
112 36 26
112 83 24
112 140 43
112 146 8
112 174 23
112 192 48
112 214 4
112 247 33
112 256 25
112 277 31
112 364 34
112 378 26
112 413 42
112 414 -1
112 438 31
112 536 -2
112 538 21
112 567 45
112 648 -1
112 654 44
112 665 21
112 690 41
112 769 5
112 796 50
112 807 23
112 830 15
112 836 49
112 877 36
112 933 36
112 938 42
112 960 5
112 980 15
113 7 37
113 25 14
113 32 15
113 53 41
113 82 18
113 87 36
113 94 32
113 103 11
113 115 1
113 131 4
113 155 9
113 159 50
113 182 19
113 198 37
113 216 45
113 225 16
113 235 -2
113 310 19
113 314 44
113 368 45
113 407 -2
113 452 44
113 467 29
113 475 25
113 487 34
113 496 15
113 505 5
113 534 18
113 536 36
113 550 6
113 555 32
113 586 49
113 592 41
113 636 10
113 649 50
113 655 46
113 657 9
113 675 15
113 705 4
113 707 2
113 723 4
113 755 40
113 804 49
113 816 28
113 820 9
113 824 30
113 877 18
113 880 2
113 895 44
113 897 45
113 916 12
113 921 2
113 928 6
113 955 25
113 996 12
114 1 12
114 12 31
114 29 38
114 42 42
114 128 28
114 154 17
114 157 31
114 171 29
114 173 0
114 184 3
114 198 2
114 200 2
114 203 9
114 214 2
114 240 40
114 250 47
114 255 28
114 262 2
114 275 15
114 314 45
114 362 15
114 483 9
114 512 50
114 526 50
114 528 18
114 539 14
114 556 39
114 619 34
114 643 5
114 644 -2
114 700 16
114 704 35
114 743 12
114 765 39
114 799 11
114 800 13
114 806 23
114 809 29
114 823 13
114 832 2
114 895 3
114 896 47
114 927 6
114 947 13
114 981 31
115 33 48
115 43 19
115 71 30
115 107 18
115 110 0
115 118 18
115 143 3
115 147 6
115 248 40
115 279 37
115 295 46
115 331 43
115 341 3
115 373 6
115 378 25
115 380 20
115 408 33
115 427 29
115 428 44
115 484 1
115 504 32
115 508 45
115 517 43
115 531 35
115 548 9
115 577 1
115 600 40
115 610 9
115 642 29
115 644 29
115 692 41
115 703 25
115 707 13
115 708 2
115 713 28
115 741 7
115 764 20
115 792 39
115 801 -2
115 850 49
115 852 18
115 902 48
115 905 9
115 919 19
115 924 27
115 961 20
115 990 -2
116 15 46
116 19 -1
116 26 14
116 35 24
116 46 42
116 53 45
116 54 20
116 61 21
116 72 12
116 96 25
116 114 27
116 135 -1
116 150 49
116 157 45
116 158 0
116 196 18
116 211 50
116 213 15
116 244 33
116 255 17
116 305 32
116 330 5
116 335 50
116 345 7
116 362 43
116 368 32
116 373 44
116 405 5
116 424 44
116 433 26
116 439 50
116 459 3
116 567 32
116 596 10
116 601 35
116 643 28
116 669 41
116 670 4
116 689 14
116 739 45
116 771 23
116 774 35
116 805 50
116 822 5
116 833 35
116 856 40
116 865 21
116 880 12
116 886 36
116 901 40
116 940 40
116 964 45
116 982 35
116 984 25
116 987 21
116 994 12
116 996 49
117 24 29
117 34 36
117 84 -1
117 108 33
117 124 6
117 130 30
117 134 27
117 146 8
117 165 22
117 170 5
117 199 50
117 203 44
117 220 6
117 264 10
117 269 3
117 271 36
117 280 31
117 309 45
117 316 22
117 318 7
117 354 13
117 358 28
117 376 24
117 415 35
117 426 40
117 440 29
117 457 3
117 479 14
117 488 43
117 491 41
117 497 36
117 500 17
117 514 6
117 537 11
117 539 1
117 553 40
117 613 8
117 734 3
117 751 13
117 775 16
117 798 26
117 799 8
117 857 46
117 884 22
117 927 1
117 928 27
117 933 15
117 935 27
117 954 12
117 975 28
117 987 21
117 989 28
118 15 41
118 22 17
118 48 32
118 65 44
118 77 26
118 108 8
118 124 1
118 148 26
118 158 5
118 176 22
118 181 21
118 201 43
118 221 25
118 252 24
118 267 8
118 271 30
118 281 47
118 293 35
118 299 5
118 303 32
118 311 25
118 341 38
118 379 13
118 400 21
118 408 10
118 421 14
118 434 12
118 461 32
118 467 0
118 476 38
118 498 5
118 531 45
118 539 2
118 552 34
118 572 22
118 585 44
118 603 49
118 619 43
118 653 23
118 656 7
118 666 9
118 669 36
118 670 42
118 694 38
118 698 45
118 772 42
118 780 48
118 792 6
118 802 27
118 899 31
118 911 48
118 912 32
118 952 -1
118 954 30
118 963 -1
119 2 37
119 18 20
119 51 34
119 65 19
119 68 30
119 96 15
119 129 3
119 136 2
119 155 45
119 189 21
119 198 7
119 246 34
119 251 19
119 254 40
119 291 23
119 321 18
119 341 4
119 350 19
119 361 48
119 455 29
119 479 37
119 498 38
119 514 48
119 536 37
119 543 10
119 594 5
119 615 22
119 623 4
119 624 21
119 710 31
119 722 43
119 750 40
119 754 42
119 776 8
119 789 46
119 802 30
119 803 -2
119 824 15
119 867 -1
119 885 2
119 928 16
119 937 12
119 974 6
120 7 10
120 39 28
120 46 9
120 56 -2
120 130 35
120 146 30
120 191 37
120 224 50
120 242 6
120 264 43
120 288 49
120 300 34
120 334 2
120 336 6
120 352 -2
120 359 14
120 413 39
120 423 35
120 463 2
120 467 40
120 469 8
120 470 17
120 476 3
120 499 4
120 503 3
120 504 33
120 505 18
120 509 1
120 513 49
120 528 21
120 531 1
120 548 -2
120 562 12
120 563 41
120 572 39
120 601 1
120 603 50
120 630 20
120 670 4
120 674 12
120 688 49
120 708 7
120 789 34
120 797 49
120 801 8
120 854 -2
120 855 41
120 909 24
120 912 6
120 914 33
120 938 9
120 946 6
120 971 0
120 975 30
121 31 11
121 45 6
121 68 13
121 79 28
121 131 41
121 144 18
121 201 20
121 223 43
121 224 35
121 254 4
121 347 0
121 363 49
121 376 25
121 384 46
121 441 43
121 459 21
121 496 48
121 517 33
121 538 39
121 565 -1
121 626 14
121 631 22
121 652 25
121 658 5
121 695 3
121 703 31
121 772 10
121 827 9
121 869 48
121 874 30
121 911 29
121 920 3
121 939 28
121 962 19
121 964 4
121 979 31
121 981 15
121 983 37
121 991 26
122 2 14
122 19 27
122 22 41
122 25 49
122 26 30
122 33 46
122 52 40
122 67 2
122 69 15
122 84 7
122 94 13
122 107 40
122 131 18
122 137 36
122 144 41
122 176 20
122 177 24
122 212 33
122 239 -1
122 253 41
122 277 25
122 343 13
122 364 31
122 365 21
122 379 10
122 383 45
122 414 26
122 463 7
122 469 22
122 478 32
122 506 32
122 532 37
122 540 5
122 590 22
122 615 29
122 640 16
122 644 0
122 654 48
122 655 23
122 661 34
122 662 32
122 689 49
122 707 16
122 710 10
122 722 44
122 727 8
122 755 39
122 798 22
122 801 0
122 834 11
122 842 31
122 849 17
122 868 7
122 903 -2
122 920 27
122 929 18
122 966 44
122 979 32
122 995 1
123 27 22
123 44 11
123 47 47
123 92 -2
123 93 21
123 107 42
123 128 46
123 136 38
123 148 23
123 211 32
123 218 32
123 230 28
123 249 38
123 263 30
123 264 44
123 272 12
123 281 28
123 291 21
123 297 50
123 299 45
123 309 -2
123 355 15
123 357 23
123 375 33
123 376 15
123 392 49
123 398 39
123 400 48
123 413 9
123 464 35
123 514 9
123 528 41
123 586 39
123 597 15
123 626 35
123 656 26
123 698 18
123 706 23
123 709 -1
123 758 42
123 779 45
123 786 40
123 795 1
123 814 29
123 816 24
123 830 19
123 873 3
123 875 49
123 897 21
123 929 4
123 952 19
123 955 2
124 50 37
124 76 49
124 84 20
124 96 22
124 108 29
124 120 20
124 142 20
124 147 12
124 158 19
124 184 36
124 210 24
124 233 43
124 235 45
124 237 13
124 261 0
124 262 37
124 284 19
124 298 4
124 344 47
124 420 44
124 427 21
124 441 29
124 455 40
124 459 -1
124 467 27
124 514 8
124 520 4
124 534 -1
124 568 41
124 603 13
124 644 12
124 661 37
124 678 29
124 679 13
124 703 23
124 709 43
124 747 13
124 764 25
124 843 28
124 871 3
124 904 6
124 939 46
125 6 32
125 9 -1
125 12 19
125 19 43
125 29 11
125 40 29
125 91 44
125 94 12
125 105 40
125 115 25
125 142 24
125 159 37
125 193 44
125 206 18
125 230 15
125 364 42
125 376 25
125 389 2
125 407 50
125 430 19
125 447 -2
125 485 28
125 490 41
125 529 13
125 546 46
125 556 14
125 590 2
125 617 0
125 641 16
125 683 48
125 706 5
125 713 31
125 731 25
125 739 37
125 768 7
125 779 13
125 783 26
125 792 17
125 794 20
125 800 0
125 855 5
125 867 29
125 882 27
125 917 4
125 921 23
125 960 7
125 964 -2
125 988 21
125 989 15
126 6 24
126 25 25
126 93 10
126 96 11
126 102 15
126 115 42
126 216 3
126 217 40
126 230 15
126 263 15
126 293 3
126 328 9
126 365 34
126 377 40
126 389 49
126 407 20
126 417 47
126 426 21
126 435 24
126 441 33
126 516 47
126 530 13
126 580 44
126 590 35
126 596 36
126 610 24
126 612 39
126 647 8
126 651 21
126 675 13
126 723 17
126 732 31
126 746 11
126 758 8
126 782 20
126 793 34
126 794 15
126 805 -2
126 806 1
126 815 43
126 828 41
126 832 35
126 854 5
126 872 16
126 874 9
126 886 43
126 903 23
126 945 10
126 955 38
126 960 42
126 962 45
127 4 40
127 16 46
127 19 41
127 24 43
127 34 21
127 40 43
127 42 12
127 47 47
127 69 45
127 77 41
127 90 13
127 97 31
127 108 18
127 119 -2
127 123 39
127 136 24
127 138 0
127 162 2
127 169 10
127 211 20
127 285 39
127 293 36
127 298 50
127 325 25
127 381 38
127 409 7
127 426 49
127 432 39
127 438 9
127 481 50
127 496 3
127 513 25
127 567 45
127 599 43
127 611 23
127 630 43
127 639 8
127 660 38
127 690 19
127 698 28
127 709 25
127 716 13
127 725 35
127 737 3
127 744 31
127 751 39
127 753 18
127 759 43
127 763 7
127 766 25
127 786 32
127 807 16
127 809 1
127 812 43
127 814 11
127 826 49
127 860 41
127 919 48
127 928 22
127 930 18
127 938 16
127 943 47
127 968 4
127 979 38
128 77 9
128 85 30
128 89 27
128 90 28
128 113 32
128 139 34
128 144 -1
128 155 17
128 167 31
128 177 43
128 255 39
128 261 5
128 269 38
128 315 38
128 373 25
128 376 8
128 382 9
128 389 -1
128 390 43
128 398 48
128 400 44
128 410 41
128 414 -1
128 432 33
128 441 5
128 453 -2
128 466 33
128 538 22
128 544 36
128 550 8
128 563 7
128 588 43
128 609 -1
128 611 3
128 614 35
128 648 26
128 660 9
128 662 10
128 669 9
128 714 27
128 765 4
128 859 22
128 884 14
128 899 7
128 900 40
128 917 7
128 931 14
128 965 34
128 982 9
128 1000 22
129 28 10
129 38 17
129 43 45
129 92 8
129 123 8
129 156 28
129 183 11
129 184 16
129 193 13
129 273 31
129 296 48
129 340 6
129 352 32
129 364 35
129 374 14
129 391 39
129 400 19
129 409 38
129 423 32
129 441 19
129 454 43
129 492 25
129 497 35
129 535 14
129 556 24
129 559 22
129 585 50
129 647 13
129 708 22
129 729 36
129 739 4
129 777 36
129 781 23
129 782 8
129 785 12
129 793 22
129 810 17
129 816 47
129 828 0
129 833 -2
129 851 42
129 863 41
129 886 17
129 898 5
129 915 21
129 916 37
129 945 31
129 956 6
129 980 12
129 984 48
130 14 16
130 50 27
130 53 36
130 71 22
130 119 31
130 143 43
130 147 7
130 160 28
130 191 37
130 200 23
130 216 18
130 231 37
130 233 46
130 246 6
130 259 5
130 269 22
130 279 38
130 315 35
130 336 7
130 347 35
130 351 41
130 376 4
130 406 45
130 451 4
130 455 35
130 463 16
130 468 6
130 499 36
130 507 7
130 511 46
130 529 32
130 549 17
130 561 35
130 586 11
130 591 46
130 609 39
130 646 21
130 663 2
130 765 6
130 809 7
130 826 32
130 888 1
130 892 31
130 918 41
130 939 35
130 958 6
130 961 8
130 963 35
130 988 43
130 991 -2
131 5 47
131 38 42
131 49 33
131 52 31
131 57 20
131 159 24
131 194 25
131 203 41
131 241 36
131 258 15
131 263 25
131 265 11
131 294 0
131 315 11
131 322 33
131 335 49
131 351 8
131 400 18
131 417 7
131 455 17
131 459 3
131 460 16
131 477 46
131 480 11
131 554 28
131 589 23
131 593 17
131 605 11
131 636 21
131 642 7
131 690 48
131 708 24
131 724 38
131 726 36
131 731 44
131 737 39
131 757 42
131 813 39
131 814 48
131 828 10
131 834 47
131 864 49
131 870 2
131 872 40
131 873 27
131 890 43
131 901 48
131 935 21
131 948 22
131 952 32
131 996 23
132 9 31
132 11 30
132 18 27
132 48 28
132 93 10
132 95 15
132 113 4
132 143 34
132 182 36
132 209 11
132 214 38
132 269 17
132 274 50
132 305 45
132 310 21
132 312 43
132 314 17
132 327 3
132 337 44
132 354 27
132 376 14
132 394 26
132 399 38
132 405 43
132 409 40
132 416 32
132 443 28
132 573 49
132 582 32
132 612 9
132 637 19
132 685 41
132 743 49
132 755 5
132 769 15
132 788 13
132 801 24
132 815 33
132 837 23
132 856 21
132 866 15
132 884 2
132 887 26
132 890 28
132 934 -1
132 942 46
132 956 27
133 4 38
133 11 29
133 50 18
133 78 16
133 94 24
133 99 43
133 102 23
133 140 31
133 167 49
133 178 40
133 196 27
133 207 5
133 234 47
133 249 -2
133 275 26
133 289 23
133 329 46
133 330 29
133 361 47
133 403 31
133 473 43
133 487 -1
133 499 38
133 505 45
133 514 11
133 521 1
133 549 5
133 560 47
133 619 2
133 627 37
133 637 2
133 658 46
133 661 16
133 670 15
133 678 26
133 681 24
133 691 28
133 693 50
133 700 23
133 705 27
133 718 41
133 748 40
133 775 -2
133 780 9
133 812 48
133 814 36
133 843 30
133 858 12
133 870 27
133 873 38
133 911 38
133 921 47
133 930 41
133 935 37
133 942 18
133 946 48
133 947 -2
133 950 33
133 970 35
133 984 36
133 995 18
134 32 6
134 69 11
134 103 12
134 113 21
134 137 43
134 154 -1
134 208 35
134 280 46
134 294 37
134 307 23
134 319 30
134 326 17
134 349 25
134 379 22
134 498 34
134 518 5
134 520 16
134 563 25
134 585 2
134 588 27
134 614 22
134 620 24
134 621 25
134 645 48
134 718 10
134 723 1
134 746 13
134 766 -2
134 767 47
134 816 48
134 832 37
134 872 10
134 885 31
134 902 34
134 939 29
134 944 8
134 984 34
135 56 29
135 69 14
135 83 30
135 118 5
135 154 50
135 191 8
135 208 32
135 230 21
135 238 50
135 251 36
135 289 2
135 291 18
135 293 28
135 295 3
135 303 23
135 340 1
135 350 28
135 395 37
135 404 27
135 423 48
135 552 34
135 592 18
135 603 33
135 615 47
135 627 19
135 628 24
135 638 36
135 649 1
135 651 46
135 661 6
135 705 9
135 752 37
135 763 37
135 767 26
135 771 38
135 780 47
135 790 18
135 800 35
135 857 31
135 858 37
135 907 33
135 912 27
135 922 48
135 923 35
135 937 43
135 962 24
135 983 17
135 987 40
135 993 23
135 1000 41
136 38 6
136 47 5
136 65 25
136 82 2
136 123 3
136 124 33
136 126 49
136 133 20
136 139 5
136 141 3
136 167 24
136 208 33
136 218 12
136 219 11
136 221 21
136 230 21
136 242 10
136 253 28
136 263 3
136 311 -2
136 314 22
136 324 28
136 331 -1
136 344 41
136 348 39
136 352 25
136 389 14
136 395 39
136 442 41
136 448 49
136 458 46
136 472 32
136 486 20
136 515 34
136 524 22
136 575 27
136 605 38
136 633 26
136 648 32
136 699 20
136 712 6
136 720 4
136 809 42
136 860 16
136 876 35
136 898 34
136 908 41
136 916 13
136 918 8
136 926 44
136 964 25
136 976 19
137 31 22
137 44 4
137 51 36
137 84 26
137 148 24
137 149 25
137 168 20
137 191 -1
137 193 5
137 204 8
137 239 42
137 279 10
137 280 37
137 291 48
137 312 41
137 328 41
137 348 21
137 370 49
137 421 37
137 459 48
137 475 41
137 490 28
137 494 37
137 511 8
137 523 5
137 554 10
137 564 45
137 566 1
137 649 20
137 714 35
137 718 13
137 752 12
137 759 41
137 768 46
137 827 41
137 929 15
137 943 29
137 950 10
137 986 19
138 55 15
138 59 5
138 90 45
138 107 37
138 149 0
138 162 43
138 187 12
138 202 13
138 206 38
138 207 39
138 211 24
138 212 38
138 213 50
138 233 40
138 234 21
138 242 24
138 284 18
138 390 4
138 399 40
138 452 21
138 455 24
138 516 -2
138 522 47
138 530 33
138 531 48
138 575 47
138 577 39
138 602 9
138 607 3
138 618 7
138 651 20
138 671 24
138 672 4
138 692 10
138 697 3
138 700 42
138 718 13
138 722 22
138 742 37
138 748 38
138 796 13
138 827 45
138 828 10
138 829 7
138 830 6
138 841 46
138 867 4
138 937 21
138 994 29
139 51 10
139 60 34
139 79 41
139 87 34
139 95 28
139 98 10
139 134 -2
139 138 19
139 196 30
139 207 42
139 232 39
139 245 50
139 252 39
139 254 5
139 264 48
139 277 5
139 280 16
139 361 11
139 379 14
139 380 29
139 411 6
139 445 -1
139 468 0
139 493 43
139 528 11
139 529 -1
139 539 0
139 542 3
139 552 29
139 591 22
139 620 26
139 642 7
139 648 23
139 660 26
139 690 -2
139 693 26
139 752 -2
139 760 12
139 785 13
139 828 5
139 845 17
139 846 -2
139 892 17
139 895 48
139 927 27
139 930 46
139 935 19
139 943 50
139 957 15
139 968 9
139 985 20
140 4 45
140 26 10
140 38 42
140 43 35
140 72 39
140 86 49
140 95 43
140 142 5
140 152 27
140 161 48
140 179 18
140 185 21
140 228 12
140 234 0
140 235 23
140 248 14
